title,rating,number_of_reviews,category,address,website,email,registration_date,phone,img_link,link
"Homecleaning, Pakistan's No.1 Cleaning Solution!",4.5,11,House cleaning service,"street 21st, Badar Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",http://www.homecleaning.pk/,info@homecleaning.pk,2023,3322872818,https://lh5.googleusercontent.com/p/AF1QipOImqBKa5N4hb6S7I5yoLXKPhiOcRTIvK0tUoWq=w408-h408-k-no,"https://www.google.com/maps/place/Homecleaning,+Pakistan%27s+No.1+Cleaning+Solution!/data=!4m7!3m6!1s0x3eb33f8b6762c147:0x1a86f376d029a301!8m2!3d24.8034943!4d67.0502211!16s%2Fg%2F11nx5dlp1c!19sChIJR8FiZ4s_sz4RAaMp0Hbzhho?authuser=0&hl=en&rclk=1"
NIFT,4.5,41,Corporate office,"5th Floor, AWT Plaza, I.I Chundrigar Rd، beside GPO, Karachi, Karachi City, Sindh 74000",https://www.nift.pk/,info@nift.pk,,,https://lh5.googleusercontent.com/p/AF1QipPREmoVZ6byME6pEfb0eBb-FsrlePYqRLGIsXal=w408-h612-k-no,https://www.google.com/maps/place/NIFT/data=!4m7!3m6!1s0x3eb33e08e7c8cbb9:0x55daa162d822946f!8m2!3d24.8517036!4d67.0131912!16s%2Fg%2F11c1vj4r7f!19sChIJucvI5wg-sz4Rb5Qi2GKh2lU?authuser=0&hl=en&rclk=1
Coherent Engineering Management Private Limited,4.9,39,Engineering consultant,"4th Floor, Al-Shams Center, Block 13 A Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300",http://www.cemengg.com/,info@cemengg.com,No date,3332363644,https://lh5.googleusercontent.com/p/AF1QipMkx8YjeT22W1JvbiNdl2MDfgR86cmr-luSiKoo=w408-h306-k-no,https://www.google.com/maps/place/Coherent+Engineering+Management+Private+Limited/data=!4m7!3m6!1s0x3eb341fbf38ad4d9:0xffe445b98e5fb373!8m2!3d24.9039017!4d67.0768486!16s%2Fg%2F11fp8cjrfr!19sChIJ2dSK8_tBsz4Rc7NfjrlF5P8?authuser=0&hl=en&rclk=1
J&I Cleaning,4.4,77,Commercial cleaning service,"Unit 4, Eastcote Industrial Estate, Field End Rd, London, Ruislip HA4 9XG, United Kingdom",https://jicleaning.com/,info@jicleaning.com,,4.42089E+11,https://lh5.googleusercontent.com/p/AF1QipMsY3BRgixMV_6ThdXrV32DhsBoHoqBalUiAQTt=w408-h272-k-no,https://www.google.com/maps/place/J%26I+Cleaning/data=!4m7!3m6!1s0x48766cc0e4349b23:0xe06897b14480589c!8m2!3d51.5754417!4d-0.3985638!16s%2Fg%2F1tm0sngb!19sChIJI5s05MBsdkgRnFiARLGXaOA?authuser=0&hl=en&rclk=1
Maid Bright,4.8,643,House cleaning service,"510 Spring St #120, Herndon, VA 20170, United States",https://www.maidbright.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,No Email,2004-2023,18886243274,https://lh5.googleusercontent.com/p/AF1QipPQl__LINHF44DzwM9CAwa4rFmEqU7C__z-Gkuv=w408-h272-k-no,https://www.google.com/maps/place/Maid+Bright/data=!4m7!3m6!1s0x89b639c3c1372433:0xe73c522784c3a1d!8m2!3d38.9648538!4d-77.3821348!16s%2Fg%2F1tlbvlmh!19sChIJMyQ3wcM5tokRHTpMeCLFcw4?authuser=0&hl=en&rclk=1
Signature Cleaning Services,4.9,312,House cleaning service,"215 Oakland Ave, Winnipeg, MB R2G 0A7, Canada",https://signaturecleaning.ca/,info@signaturecleaning.com,,12047793600,https://lh5.googleusercontent.com/p/AF1QipOGpPgBnujPHS5CjWpkDEKtMvSjGEtKTGyXmuKR=w408-h306-k-no,https://www.google.com/maps/place/Signature+Cleaning+Services/data=!4m7!3m6!1s0x52ea6df09b965959:0x9f595173bc5cff!8m2!3d49.9373218!4d-97.0916716!16s%2Fg%2F1tgwrx__!19sChIJWVmWm_Bt6lIR_1y8c1FZnwA?authuser=0&hl=en&rclk=1
A Cleaning Service Inc,4.9,65,Janitorial service,"3701 5th St S APT 203, Arlington, VA 22204, United States",http://acleaningserviceinc.com/,info@acleaningserviceinc.com,,17038928648,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DCyNL6YwcZ4RV0oyv4wcvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=18.139454&pitch=0&thumbfov=100,https://www.google.com/maps/place/A+Cleaning+Service+Inc/data=!4m7!3m6!1s0x89b7b6a70c8e7ab7:0x2e6c823c143a66f6!8m2!3d38.866997!4d-77.0970398!16s%2Fg%2F1w0sdrtk!19sChIJt3qODKe2t4kR9mY6FDyCbC4?authuser=0&hl=en&rclk=1
In & Out Cleaning Services,4.2,35,Janitorial service,"615 S Liberty St, Muncie, IN 47305, United States",http://inandoutcleaning.net/,info@inandoutcleaning.com,2021,17658080561,https://lh5.googleusercontent.com/p/AF1QipPa7cTCd2NpXSCrwOzRxpJWg2kBwqQsR9ZTBTHw=w408-h273-k-no,https://www.google.com/maps/place/In+%26+Out+Cleaning+Services/data=!4m7!3m6!1s0x88153da5cad3651d:0xe0d819a004978152!8m2!3d40.1888864!4d-85.3904299!16s%2Fg%2F1tdvf5d_!19sChIJHWXTyqU9FYgRUoGXBKAZ2OA?authuser=0&hl=en&rclk=1
Cleaning All,4.9,117,Janitorial service,,https://cleaningallil.com/,info@cleaningallil.com,No date,12173107670,https://lh5.googleusercontent.com/p/AF1QipOoNEFRoMGNuSN_83yC_9D-YMGl3tfJ225MLhKd=w408-h272-k-no,https://www.google.com/maps/place/Cleaning+All/data=!4m7!3m6!1s0x880cd1d6aa3be3eb:0x7911e83f4d3f58a8!8m2!3d40.1461934!4d-88.3108059!16s%2Fg%2F11ghfq6s9g!19sChIJ6-M7qtbRDIgRqFg_TT_oEXk?authuser=0&hl=en&rclk=1
Quality Cleaning,4.2,23,House cleaning service,"628 Industrial Dr, Adrian, MI 49221, United States",http://www.qualitycleaning.pro/,No Email,No date,15177593247,https://lh5.googleusercontent.com/p/AF1QipMJkOgnq8wQ3SFEfnucewP9o0I7JzFGoMJeWlk=w426-h240-k-no,https://www.google.com/maps/place/Quality+Cleaning/data=!4m7!3m6!1s0x883cf059a2beb86d:0x10ed5d6743565a5c!8m2!3d41.8892136!4d-84.0664997!16s%2Fg%2F1ts3g8p4!19sChIJbbi-olnwPIgRXFpWQ2dd7RA?authuser=0&hl=en&rclk=1
Nice and Clean,5,18,House cleaning service,"4010 Maury Pl # 18 B, Alexandria, VA 22309, United States",http://niceandclean.net/,No Email,No date,17033601282,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1enjRO2OXzYbBeqibXWHNg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.18805&pitch=0&thumbfov=100,https://www.google.com/maps/place/Nice+and+Clean/data=!4m7!3m6!1s0x89b7af629c862d21:0x5dc65d122073a5ed!8m2!3d38.7321592!4d-77.1005909!16s%2Fg%2F11b7lmyg7x!19sChIJIS2GnGKvt4kR7aVzIBJdxl0?authuser=0&hl=en&rclk=1
Maid Brigade of St. Louis,4.3,49,House cleaning service,"10073 Manchester Rd, St. Louis, MO 63122, United States",https://www.maidbrigade.com/mo/st-louis/,info@maidbrigade.com,,13146965530,https://lh5.googleusercontent.com/p/AF1QipP-XsFpc6ZxeUcNGNpNkuDKC_Qb33YagQJIFlO1=w408-h272-k-no,https://www.google.com/maps/place/Maid+Brigade+of+St.+Louis/data=!4m7!3m6!1s0x87d8cb102d695aa7:0xb28eda422b3b181!8m2!3d38.6032546!4d-90.3877112!16s%2Fg%2F12ml2mlvt!19sChIJp1ppLRDL2IcRgbGzIqTtKAs?authuser=0&hl=en&rclk=1
Maid in the USA,4.4,9,House cleaning service,,http://www.maidintheusa.com/,No Email,2020,13236626243,https://lh5.googleusercontent.com/p/AF1QipNghPlm5fkbDsXqQQX2JU6lI-LlKXsS4xyX4tK6=w408-h306-k-no,https://www.google.com/maps/place/Maid+in+the+USA/data=!4m7!3m6!1s0x80c2c0dadf331655:0x99696369b0bc1316!8m2!3d34.06011!4d-118.3505596!16s%2Fg%2F1tdlvjy8!19sChIJVRYz39rAwoARFhO8sGljaZk?authuser=0&hl=en&rclk=1
